r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.3819999999999999,0.4146919999999999,0.7546919999999998,0.8673000000000007,0.8673000000000007,0.8673000000000007
0.3809999999999999,0.41494633333333325,0.7549463333333332,0.873658333333334,0.873658333333334,0.873658333333334
0.3799999999999999,0.4151999999999999,0.7551999999999999,0.8800000000000008,0.8800000000000008,0.8800000000000008
0.3789999999999999,0.4154529999999999,0.7554529999999998,0.8863250000000008,0.8863250000000008,0.8863250000000008
0.3779999999999999,0.41570533333333326,0.7557053333333331,0.892633333333334,0.892633333333334,0.892633333333334
0.3769999999999999,0.4159569999999999,0.7559569999999999,0.8989250000000008,0.8989250000000008,0.8989250000000008
0.3759999999999999,0.4162079999999999,0.7562079999999998,0.9052000000000008,0.9052000000000008,0.9052000000000008
0.3749999999999999,0.4164583333333332,0.7564583333333331,0.9114583333333341,0.9114583333333341,0.9114583333333341
0.3739999999999999,0.4167079999999999,0.7567079999999998,0.9177000000000007,0.9177000000000007,0.9177000000000007
0.3729999999999999,0.4169569999999999,0.7569569999999998,0.9239250000000008,0.9239250000000008,0.9239250000000008
0.3719999999999999,0.41720533333333326,0.7572053333333332,0.930133333333334,0.930133333333334,0.930133333333334
0.3709999999999999,0.4174529999999999,0.7574529999999998,0.9363250000000009,0.9363250000000009,0.9363250000000009
0.3699999999999999,0.4176999999999999,0.7576999999999998,0.9425000000000008,0.9425000000000008,0.9425000000000008
0.3689999999999999,0.41794633333333325,0.7579463333333332,0.948658333333334,0.948658333333334,0.948658333333334
0.3679999999999999,0.4181919999999999,0.7581919999999998,0.9548000000000009,0.9548000000000009,0.9548000000000009
0.3669999999999999,0.4184369999999999,0.7584369999999997,0.9609250000000007,0.9609250000000007,0.9609250000000007
0.3659999999999999,0.41868133333333324,0.7586813333333332,0.9670333333333342,0.9670333333333342,0.9670333333333342
0.3649999999999999,0.4189249999999999,0.7589249999999998,0.9731250000000009,0.9731250000000009,0.9731250000000009
0.3639999999999999,0.41916799999999993,0.7591679999999997,0.9792000000000007,0.9792000000000007,0.9792000000000007
0.3629999999999999,0.4194103333333333,0.7594103333333332,0.9852583333333341,0.9852583333333341,0.9852583333333341
0.3619999999999999,0.4196519999999999,0.7596519999999998,0.9913000000000008,0.9913000000000008,0.9913000000000008
0.3609999999999999,0.4198929999999999,0.7598929999999998,0.9973250000000008,0.9973250000000008,0.9973250000000008
0.3599999999999999,0.42013333333333325,0.7601333333333331,1.003333333333334,1.003333333333334,1.003333333333334
0.3589999999999999,0.4203729999999999,0.7603729999999997,1.0093250000000007,1.0093250000000007,1.0093250000000007
0.3579999999999999,0.42061199999999993,0.7606119999999998,1.0153000000000008,1.0153000000000008,1.0153000000000008
0.3569999999999999,0.42085033333333327,0.7608503333333332,1.0212583333333343,1.0212583333333343,1.0212583333333343
0.35599999999999987,0.4210879999999999,0.7610879999999998,1.0272000000000008,1.0272000000000008,1.0272000000000008
0.35499999999999987,0.4213249999999999,0.7613249999999998,1.0331250000000007,1.0331250000000007,1.0331250000000007
0.35399999999999987,0.42156133333333323,0.7615613333333331,1.0390333333333341,1.0390333333333341,1.0390333333333341
0.35299999999999987,0.4217969999999999,0.7617969999999998,1.0449250000000008,1.0449250000000008,1.0449250000000008
0.35199999999999987,0.4220319999999999,0.7620319999999998,1.0508000000000008,1.0508000000000008,1.0508000000000008
0.35099999999999987,0.42226633333333324,0.7622663333333332,1.0566583333333344,1.0566583333333344,1.0566583333333344
0.34999999999999987,0.4224999999999999,0.7624999999999997,1.0625,1.062500000000001,1.062500000000001
0.34899999999999987,0.4227329999999999,0.7627329999999998,1.0627330000000001,1.0683250000000009,1.0683250000000009
0.34799999999999986,0.42296533333333325,0.7629653333333332,1.0629653333333333,1.0741333333333343,1.0741333333333343
0.34699999999999986,0.42319699999999993,0.7631969999999998,1.063197,1.079925000000001,1.079925000000001
0.34599999999999986,0.4234279999999999,0.7634279999999998,1.063428,1.0857000000000008,1.0857000000000008
0.34499999999999986,0.42365833333333325,0.7636583333333332,1.0636583333333334,1.091458333333334,1.091458333333334
0.34399999999999986,0.42388799999999993,0.7638879999999998,1.063888,1.097200000000001,1.097200000000001
0.34299999999999986,0.4241169999999999,0.7641169999999997,1.064117,1.102925000000001,1.102925000000001
0.34199999999999986,0.42434533333333324,0.7643453333333331,1.0643453333333333,1.1086333333333342,1.1086333333333342
0.34099999999999986,0.4245729999999999,0.7645729999999998,1.064573,1.114325000000001,1.114325000000001
0.33999999999999986,0.4247999999999999,0.7647999999999998,1.0648,1.120000000000001,1.120000000000001
0.33899999999999986,0.42502633333333323,0.7650263333333331,1.0650263333333334,1.1256583333333343,1.1256583333333343
0.33799999999999986,0.4252519999999999,0.7652519999999998,1.065252,1.1313000000000009,1.1313000000000009
0.33699999999999986,0.42547699999999994,0.7654769999999997,1.065477,1.1369250000000009,1.1369250000000009
0.33599999999999985,0.42570133333333326,0.7657013333333331,1.0657013333333334,1.1425333333333343,1.1425333333333343
0.33499999999999985,0.4259249999999999,0.7659249999999997,1.065925,1.148125000000001,1.148125000000001
0.33399999999999985,0.4261479999999999,0.7661479999999998,1.0661479999999999,1.1537000000000008,1.1537000000000008
0.33299999999999985,0.42637033333333324,0.7663703333333332,1.0663703333333332,1.1592583333333342,1.1592583333333342
0.33199999999999985,0.42659199999999986,0.7665919999999997,1.066592,1.164800000000001,1.164800000000001
