r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.23699999999999977,0.39613818958333324,0.7502163145833332,1.0626381895833332,1.3334038145833333,1.5625131895833335
0.23599999999999977,0.3961391749999999,0.7502172999999998,1.062639175,1.3334048,1.562514175
0.23499999999999976,0.3961401562499999,0.7502182812499998,1.06264015625,1.33340578125,1.5625151562500001
0.23399999999999976,0.3961411333333332,0.7502192583333331,1.0626411333333334,1.3334067583333333,1.5625161333333333
0.23299999999999976,0.3961421062499999,0.7502202312499997,1.06264210625,1.33340773125,1.5625171062499998
0.23199999999999976,0.39614307499999984,0.7502211999999998,1.062643075,1.3334087,1.562518075
0.23099999999999976,0.3961440395833332,0.750222164583333,1.0626440395833334,1.3334096645833333,1.5625190395833333
0.22999999999999976,0.39614499999999986,0.7502231249999998,1.0626449999999998,1.333410625,1.56252
0.22899999999999976,0.3961459562499999,0.7502240812499997,1.06264595625,1.33341158125,1.56252095625
0.22799999999999976,0.3961469083333332,0.7502250333333331,1.0626469083333334,1.3334125333333333,1.5625219083333335
0.22699999999999976,0.3961478562499999,0.7502259812499997,1.06264785625,1.3334134812499998,1.56252285625
